Trial #,Training AUC,Validation AUC,SF Testing AUC,Training AUC w/ FS,Validation AUC w/ FS,SF Testing AUC w/ FS
1,0.9783783923794369,0.9022556390977444,0.7152777777777778,0.9997810618500275,0.849624060150376,0.7569444444444444
2,0.9788968163681429,0.9007518796992481,0.6354166666666667,0.9976021151390876,0.8917293233082707,0.6840277777777777
3,0.968107333842628,0.834658187599364,0.6284722222222223,0.968107333842628,0.834658187599364,0.6284722222222223
4,0.9970994259993736,0.8974358974358974,0.6371527777777778,0.9642099661586304,0.9145299145299146,0.7118055555555555
5,0.9810130266075389,0.9033189033189033,0.6631944444444444,0.9847436252771619,0.9004329004329005,0.6597222222222222
6,0.9802895335822515,0.8703703703703705,0.6805555555555556,0.9738081286893046,0.8611111111111112,0.7065972222222223
7,0.9798680436029834,0.9333333333333333,0.642361111111111,0.9751003738903161,0.9418803418803419,0.6597222222222222
8,0.9988888888888889,0.96875,0.6822916666666667,0.9850949975949976,0.9375,0.6961805555555555
9,0.9782463132261114,0.912037037037037,0.6180555555555556,0.9964356510095065,0.904320987654321,0.6493055555555556
10,0.9783944486885663,0.9427662957074721,0.6527777777777779,0.9914782276546982,0.9284578696343403,0.7118055555555556
11,0.9712128015166254,0.9299145299145299,0.6631944444444444,0.9712128015166254,0.9299145299145299,0.6631944444444444
12,0.9924723424723425,0.9736842105263158,0.6302083333333333,0.9989381914381914,0.9605263157894737,0.6493055555555556
13,0.9699758788368026,0.9193245778611633,0.7152777777777778,0.9721650425724115,0.9080675422138837,0.7013888888888888
14,0.988641192164998,0.8887218045112782,0.71875,0.9981906964311247,0.849624060150376,0.6961805555555556
15,0.9645117865749707,0.8842105263157894,0.6979166666666666,0.9457605599322463,0.8842105263157894,0.6875
16,0.9951579822616408,0.8686868686868686,0.6875,0.9869345898004435,0.8932178932178932,0.7534722222222221
17,0.9901870059764797,0.9430555555555556,0.71875,0.985757127862391,0.9444444444444444,0.7326388888888888
18,0.9991848579817845,0.9533834586466166,0.732638888888889,0.9953588723678802,0.9533834586466166,0.751736111111111
19,0.9666125541125542,0.868421052631579,0.7118055555555556,0.9754858104858105,0.881578947368421,0.7604166666666667
20,0.9952915711739241,0.918918918918919,0.6319444444444445,0.97991341991342,0.917329093799682,0.6909722222222222
21,0.9977464556500756,0.9353383458646616,0.6770833333333333,0.9980278101182225,0.9398496240601504,0.6666666666666666
22,0.971374458874459,0.958664546899841,0.611111111111111,0.9885828877005348,0.9538950715421304,0.6006944444444444
23,0.992977392977393,0.9251644736842105,0.6232638888888888,0.99994708994709,0.8996710526315789,0.6875
24,0.9696747906798369,0.8080882352941178,0.7135416666666667,0.994141917796249,0.8455882352941176,0.6788194444444445
25,0.983077458211036,0.9076923076923077,0.75,0.9901946502365571,0.8735042735042735,0.7673611111111112
26,0.9995709192768016,0.8267090620031796,0.6805555555555556,0.9987945632798574,0.7766295707472178,0.7048611111111112
27,0.9752021078336867,0.8777777777777778,0.6666666666666667,0.9875408606987556,0.875,0.7048611111111112
28,0.9787057550292845,0.9379968203497615,0.640625,0.9769996180290297,0.9459459459459458,0.6736111111111112
29,0.9970719095719096,0.9078947368421052,0.6284722222222222,0.9984559884559884,0.9161184210526316,0.6666666666666666
30,0.9991173904125965,0.8955882352941176,0.6180555555555556,0.9995026256800857,0.9191176470588236,0.6458333333333334
31,0.9730273417825982,0.8220588235294117,0.670138888888889,0.9938752234589072,0.8080882352941177,0.7118055555555556
32,0.99341164453524,0.8267045454545454,0.6527777777777778,0.992800051072523,0.8480113636363636,0.6458333333333333
33,0.978469215969216,0.8733552631578948,0.7430555555555556,0.9963239538239538,0.8873355263157895,0.6354166666666666
34,0.9735540529206421,0.904320987654321,0.625,0.9866730101254328,0.8811728395061729,0.5763888888888888
35,0.9743710382692721,0.9411764705882353,0.6770833333333334,0.9947520076409899,0.9397058823529411,0.6736111111111112
36,0.9751321642678373,0.9572649572649573,0.6944444444444444,0.9924540951937495,0.9589743589743589,0.7013888888888888
37,0.9847214523281597,0.8571428571428571,0.6944444444444444,0.9909603658536585,0.8427128427128427,0.6631944444444445
38,0.9715617518959494,0.9428571428571428,0.7291666666666666,0.9969383145610744,0.956390977443609,0.7222222222222222
39,0.9664333814333815,0.8898026315789473,0.638888888888889,0.9973316498316498,0.9046052631578947,0.6770833333333333
40,0.9977657527657527,0.9638157894736842,0.625,0.9878944203944204,0.9457236842105263,0.6909722222222222
41,0.9914616402116403,0.955592105263158,0.65625,0.9971212121212121,0.950657894736842,0.6145833333333334
42,0.9777347900920453,0.8752136752136752,0.7569444444444444,0.9921451714379949,0.8735042735042735,0.7361111111111112
43,0.9789973307662272,0.8428571428571429,0.5798611111111112,0.9867703455439603,0.8451127819548873,0.5833333333333334
44,0.9991588137472285,0.9062049062049061,0.6597222222222222,0.9825332594235034,0.904040404040404,0.6579861111111112
45,0.976582433127572,0.8908730158730158,0.6111111111111112,0.9892296810699589,0.8829365079365079,0.65625
46,0.9641702489738112,0.9230769230769231,0.6423611111111112,0.986317720848889,0.8641025641025641,0.6701388888888888
47,0.9661013971368124,0.9383458646616541,0.6979166666666666,0.9667974197505538,0.9383458646616543,0.71875
48,0.9714948678719239,0.9151234567901235,0.6597222222222223,0.9714948678719239,0.9151234567901235,0.6597222222222223
49,0.9983403594749477,0.8785714285714286,0.7013888888888888,0.9639817998104192,0.9178571428571428,0.7152777777777778
50,0.9667491236997587,0.8887218045112782,0.7256944444444444,0.9795334124897168,0.9097744360902256,0.7118055555555556
51,0.9799098124098125,0.90625,0.6527777777777778,0.9984583934583935,0.917763157894737,0.6180555555555556
52,0.9861191749427043,0.9809220985691574,0.7013888888888888,0.9706773618538325,0.9777424483306836,0.7013888888888888
53,0.9962564489057341,0.9352941176470588,0.6111111111111112,0.9963726536056224,0.9411764705882353,0.6180555555555556
54,0.986562398662975,0.9606837606837607,0.7413194444444444,0.9864076041917844,0.9452991452991454,0.6215277777777778
55,0.9759094914057067,0.9058823529411765,0.7361111111111112,0.9780734170978074,0.913235294117647,0.7430555555555556
56,0.971835133744856,0.878968253968254,0.7291666666666667,0.9964181455761316,0.8392857142857143,0.6666666666666667
57,0.9796736203700223,0.8765432098765432,0.6701388888888888,0.9783171999317452,0.8981481481481481,0.6805555555555556
58,0.9809825388026608,0.8816738816738816,0.6701388888888888,0.985820399113082,0.8961038961038961,0.7604166666666666
59,0.9899615199615199,0.8733552631578947,0.670138888888889,0.9679377104377103,0.8963815789473684,0.6284722222222223
60,0.9832608093126387,0.9025974025974026,0.7083333333333333,0.9900831485587582,0.898989898989899,0.6875
61,0.992032227032227,0.90625,0.7083333333333333,0.9873689273689275,0.8782894736842105,0.7222222222222222
62,0.9922328316642112,0.8285714285714286,0.6458333333333333,0.9729850422853165,0.8481203007518797,0.5625
63,0.9885173008171604,0.8877840909090909,0.7065972222222223,0.9903728294177732,0.8792613636363638,0.6597222222222222
64,0.996577483352084,0.9470588235294117,0.6840277777777778,0.9853936153557685,0.9367647058823529,0.6979166666666666
65,0.9783435192258721,0.9014308426073132,0.7465277777777778,0.9760930735930735,0.9109697933227345,0.7395833333333334
66,0.9898311534613263,0.9102564102564102,0.6701388888888888,0.9940361861524775,0.9162393162393162,0.673611111111111
67,0.979540751744284,0.9426470588235295,0.7708333333333334,0.9887958947883254,0.9382352941176471,0.736111111111111
68,0.9764535599901454,0.9220588235294118,0.6336805555555556,0.9877385533819514,0.9264705882352942,0.6944444444444444
69,0.9832473830788437,0.8513323983169705,0.6875,0.9872422292647011,0.8948106591865358,0.701388888888889
70,0.9747575650738589,0.9503759398496241,0.673611111111111,0.9652968083163342,0.9533834586466166,0.6909722222222222
71,0.9851423646578141,0.9232954545454546,0.7013888888888888,0.9769669305413686,0.9247159090909091,0.6770833333333334
72,0.9803821086443566,0.8195488721804511,0.7291666666666667,0.9883476859782784,0.8721804511278195,0.7222222222222222
73,0.9747902550677991,0.913235294117647,0.71875,0.9716363442183459,0.9073529411764705,0.6944444444444444
74,0.9993582887700535,0.8521462639109697,0.6354166666666666,0.9981767252355487,0.8330683624801272,0.6388888888888888
75,0.9772967772967774,0.9161184210526316,0.6614583333333333,0.9772967772967774,0.9161184210526316,0.6614583333333333
76,0.9867624945841935,0.8867647058823529,0.6458333333333333,0.9849551929240743,0.9088235294117646,0.6979166666666666
77,0.9978533388534849,0.925,0.704861111111111,0.9981629774892535,0.9464285714285715,0.6163194444444444
78,0.9951708005243889,0.9521367521367522,0.6909722222222221,0.9957448011507729,0.9504273504273505,0.6666666666666666
79,0.954199558244502,0.8877980364656382,0.6875,0.954199558244502,0.8877980364656382,0.6875
80,0.9657570937318336,0.9166666666666666,0.6979166666666667,0.9880518736822621,0.9012345679012346,0.7048611111111112
81,0.9805939648586708,0.8767885532591415,0.7083333333333334,0.9805939648586708,0.8767885532591415,0.7083333333333334
82,0.9948790355574053,0.8580357142857143,0.6493055555555556,0.9953057418183825,0.8892857142857142,0.6631944444444444
83,0.9979327385456249,0.7982905982905983,0.6805555555555556,0.9892222582531645,0.8222222222222223,0.6215277777777778
84,0.9974468537414968,0.9429175475687104,0.6979166666666666,0.9636065051020409,0.9534883720930232,0.6284722222222223
85,0.9777347900920453,0.8752136752136752,0.7569444444444444,0.9921451714379949,0.8735042735042735,0.7361111111111112
86,0.989769544181309,0.8457869634340223,0.7430555555555555,0.9900286478227656,0.8998410174880763,0.5954861111111112
87,0.9895419187554019,0.9347826086956522,0.6284722222222222,0.9961884183232499,0.9312762973352033,0.6215277777777778
88,0.9771992275675319,0.9380863039399624,0.6284722222222222,0.9992215879605606,0.9549718574108819,0.7395833333333333
89,0.9934743627552711,0.8558823529411764,0.7222222222222222,0.9931400997843387,0.8544117647058822,0.6875
90,0.9986501117966263,0.9474671669793621,0.6423611111111112,0.9970850124182882,0.9324577861163227,0.6805555555555556
91,0.9761046393995583,0.8136752136752137,0.6909722222222222,0.9896743911463661,0.8444444444444444,0.7482638888888888
92,0.9801692899964246,0.9247863247863248,0.6875,0.9995809324253535,0.9111111111111112,0.6770833333333333
93,0.9651156525000092,0.9235294117647059,0.7256944444444444,0.9909821208601695,0.95,0.6944444444444444
94,0.9951676829268292,0.8571428571428571,0.6180555555555556,0.9911031042128602,0.8441558441558441,0.6631944444444444
95,0.969641519840577,0.8837606837606838,0.6805555555555556,0.991771447418383,0.8974358974358976,0.6979166666666666
96,0.9706521739130434,0.8846153846153846,0.7326388888888888,0.9727624363493929,0.8543956043956044,0.6388888888888888
97,0.977161466090935,0.9135802469135802,0.6284722222222222,0.9869419515679816,0.8881172839506174,0.6961805555555556
98,0.9770526695526695,0.8371710526315789,0.7361111111111112,0.9601022126022126,0.819078947368421,0.7465277777777777
99,0.9964132925897632,0.8918918918918919,0.704861111111111,0.989820473644003,0.9220985691573926,0.7152777777777778
100,0.9900091232113704,0.8955119214586256,0.654513888888889,0.9991401773424246,0.9186535764375877,0.6597222222222222
